mes,departamento,categoria,valor_orcado
2024-10,Financeiro,Treinamentos,46611.21
2024-10,Financeiro,Outros,44480.27
2024-10,Operações,Salários,16607.37
2024-10,Operações,Projetos,34699.28
2024-10,Operações,Treinamentos,41775.0
2024-10,Operações,Outros,29984.04
2024-10,RH,Salários,28834.28
2024-10,RH,Projetos,15883.35
2024-10,RH,Treinamentos,9189.62
2024-10,RH,Outros,45374.71
2024-10,TI,Salários,45518.81
2024-10,TI,Projetos,33489.57
2024-10,TI,Treinamentos,20256.34
2024-10,TI,Outros,20714.43
2024-10,Marketing,Salários,37668.01
2024-10,Marketing,Projetos,45369.96
2024-10,Marketing,Treinamentos,44918.89
2024-10,Marketing,Outros,40094.4
2024-11,Financeiro,Salários,33891.42
2024-11,Financeiro,Projetos,8786.3
2024-11,Financeiro,Treinamentos,12273.29
2024-11,Financeiro,Outros,45434.94
2024-11,Operações,Salários,32289.31
2024-11,Operações,Projetos,5413.87
2024-11,Operações,Treinamentos,9566.22
2024-11,Operações,Outros,34857.58
2024-11,RH,Salários,5227.77
2024-11,RH,Projetos,12236.36
2024-11,RH,Treinamentos,29693.02
2024-11,RH,Outros,36135.28
2024-11,TI,Salários,34338.26
2024-11,TI,Projetos,15092.12
2024-11,TI,Treinamentos,37048.06
2024-11,TI,Outros,15676.21
2024-11,Marketing,Salários,19642.99
2024-11,Marketing,Projetos,38592.11
2024-11,Marketing,Treinamentos,34233.48
2024-11,Marketing,Outros,43215.05
2024-12,Financeiro,Salários,34592.58
2024-12,Financeiro,Projetos,30573.89
2024-12,Financeiro,Treinamentos,9215.36
2024-12,Financeiro,Outros,21547.21
2024-12,Operações,Salários,16934.11
2024-12,Operações,Projetos,15979.53
2024-12,Operações,Treinamentos,48785.47
2024-12,Operações,Outros,22689.4
2024-12,RH,Salários,45142.09
2024-12,RH,Projetos,33401.24
2024-12,RH,Treinamentos,40766.51
2024-12,RH,Outros,27618.67
2024-12,TI,Salários,30960.67
2024-12,TI,Projetos,27163.3
2024-12,TI,Treinamentos,13785.93
2024-12,TI,Outros,37510.35
2024-12,Marketing,Salários,17634.76
2024-12,Marketing,Projetos,6094.22
2024-12,Marketing,Treinamentos,34046.25
2024-12,Marketing,Outros,12969.98
